Package,LibPath,Version,Priority,Built
RefManageR,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2.12,NA,3.6.0
refund,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1-17,NA,3.6.0
regimes,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.5.12,NA,3.6.0
rematch,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.1,NA,3.6.0
rematch2,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.1.0,NA,3.6.0
remotes,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.0.4,NA,3.6.0
renv,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.8.3,NA,3.6.0
repr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.1,NA,3.6.0
reprex,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.0,NA,3.6.0
reproducible,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.11,NA,3.6.0
reshape,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.8.8,NA,3.6.0
reshape2,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.3,NA,3.6.0
rgdal,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4-8,NA,3.6.0
rgeos,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.5-2,NA,3.6.0
rgexf,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.15.3,NA,3.6.0
rgis,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.11,NA,3.6.0
RgoogleMaps,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.3,NA,3.6.0
RGtk2,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.20.36,NA,3.6.0
rio,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.5.16,NA,3.6.0
rjson,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.20,NA,3.6.0
rlang,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.4.2,NA,3.6.0
RLRsim,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.1-3,NA,3.6.0
rmarkdown,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.15,NA,3.6.0
rms,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,5.1-4,NA,3.6.0
robustbase,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.93-5,NA,3.6.0
ROCR,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0-7,NA,3.6.0
Rook,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1-1,NA,3.6.0
roxygen2,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,6.1.1,NA,3.6.0
rpart,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,4.1-15,recommended,3.6.0
rpart.plot,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.0.8,NA,3.6.0
rpartScore,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0-1,NA,3.6.0
rprojroot,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3-2,NA,3.6.0
rsconnect,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.8.15,NA,3.6.0
RSQLite,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.1.2,NA,3.6.0
rstudioapi,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.10,NA,3.6.0
rtweet,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.6.9,NA,3.6.0
rvest,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.4,NA,3.6.0
sandwich,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.5-1,NA,3.6.0
sas7bdat,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.5,NA,3.6.0
satellite,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.1,NA,3.6.0
scales,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.0,NA,3.6.0
scatterplot3d,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3-41,NA,3.6.0
scholar,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.7,NA,3.6.0
selectr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.4-1,NA,3.6.0
servr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.14,NA,3.6.0
sessioninfo,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.1,NA,3.6.0
sf,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.8-0,NA,3.6.0
shiny,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.0,NA,3.6.0
shinyjs,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0,NA,3.6.0
shinyWidgets,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.4.9,NA,3.6.0
skimr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.0.1,NA,3.6.0
sodium,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1,NA,3.6.0
sourcetools,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.7,NA,3.6.0
sp,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3-2,NA,3.6.0
SpaDES,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.0.4,NA,3.6.0
SpaDES.addins,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.2,NA,3.6.0
SpaDES.core,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.7,NA,3.6.0
SpaDES.tools,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.3,NA,3.6.0
sparkline,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.0,NA,3.6.0
SparseM,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.77,NA,3.6.0
spatial,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,7.3-11,recommended,3.6.0
spData,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.0,NA,3.6.0
spDataLarge,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.1,NA,3.6.0
splines,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.0,base,3.6.0
SQUAREM,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2017.10-1,NA,3.6.0
stars,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3-1,NA,3.6.0
starsdata,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.0-1,NA,3.6.0
stats,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.0,base,3.6.0
stats4,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.0,base,3.6.0
stringi,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.5,NA,3.6.0
stringr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.0,NA,3.6.0
survival,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.1-8,recommended,3.6.0
svglite,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2.2,NA,3.6.0
sys,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.3,NA,3.6.0
tcltk,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.0,base,3.6.0
testthat,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.2.1,NA,3.6.0
TH.data,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0-10,NA,3.6.0
tibble,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.1.3,NA,3.6.0
tidycensus,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.9.2,NA,3.6.0
tidygraph,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.2,NA,3.6.0
tidyr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.0,NA,3.6.0
tidyselect,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.5,NA,3.6.0
tidyverse,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2.1,NA,3.6.0
tigris,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.8.2,NA,3.6.0
timeDate,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3043.102,NA,3.6.0
tinytex,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.16,NA,3.6.0
tmap,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.2,NA,3.6.0
tmaptools,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.0-1,NA,3.6.0
tools,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.0,base,3.6.0
triebeard,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.0,NA,3.6.0
tsModel,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.6,NA,3.6.0
tweenr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.1,NA,3.6.0
units,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.6-5,NA,3.6.0
urltools,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.7.3,NA,3.6.0
USAboundaries,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.1,NA,3.6.0
usethis,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.5.0,NA,3.6.0
utf8,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.4,NA,3.6.0
utils,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.0,base,3.6.0
uuid,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1-2,NA,3.6.0
V8,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.0,NA,3.6.0
vctrs,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.1,NA,3.6.0
velox,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.0,NA,3.6.0
versions,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3,NA,3.6.0
viridis,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.5.1,NA,3.6.0
viridisLite,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.0,NA,3.6.0
visNetwork,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.0.8,NA,3.6.0
vitae,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.0,NA,3.6.0
webshot,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.5.1,NA,3.6.0
whisker,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.4,NA,3.6.0
withr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.1.2,NA,3.6.0
xaringan,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.11,NA,3.6.0
xfun,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.12,NA,3.6.0
XML,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.98-1.20,NA,3.6.0
xml2,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2.2,NA,3.6.0
xopen,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.0,NA,3.6.0
xtable,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.8-4,NA,3.6.0
xts,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.11-2,NA,3.6.0
yaml,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.2.0,NA,3.6.0
zeallot,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.0,NA,3.6.0
zip,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.0.2,NA,3.6.0
zoo,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.8-6,NA,3.6.0
ztype,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.0,NA,3.6.0
