Package,LibPath,Version,Priority,Built
dplyr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.8.3,NA,3.6.0
DT,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.8,NA,3.6.0
e1071,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.7-3,NA,3.6.0
ecat,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.9.5,NA,3.6.0
ellipsis,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.0,NA,3.6.0
erika,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.0,NA,3.6.0
evaluate,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.14,NA,3.6.0
fansi,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.4.1,NA,3.6.0
farver,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.0.3,NA,3.6.0
fastdigest,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.6-3,NA,3.6.0
fasterize,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.0,NA,3.6.0
fastmap,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.1,NA,3.6.0
fastmatch,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1-0,NA,3.6.0
fda,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.4.8,NA,3.6.0
ff,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.2-14,NA,3.6.0
ffbase,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.12.7,NA,3.6.0
filelock,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.2,NA,3.6.0
flexmix,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.3-15,NA,3.6.0
flock,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.7,NA,3.6.0
forcats,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.4.0,NA,3.6.0
foreach,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.4,NA,3.6.0
foreign,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.8-71,recommended,3.6.0
formatR,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.7,NA,3.6.0
Formula,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2-3,NA,3.6.0
fpc,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.2-3,NA,3.6.0
fpCompare,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.3,NA,3.6.0
fs,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3.1,NA,3.6.0
future,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.16.0,NA,3.6.0
future.apply,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.0,NA,3.6.0
gamm4,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2-5,NA,3.6.0
gargle,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.4.0,NA,3.6.0
gdalUtils,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.0.1.14,NA,3.6.0
gdata,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.18.0,NA,3.6.0
gdtools,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.9,NA,3.6.0
generics,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.0.2,NA,3.6.0
geohash,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.4.0,NA,3.6.0
geohashTools,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.0,NA,3.6.0
geojsonlint,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.0,NA,3.6.0
geojsonsf,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3.0,NA,3.6.0
geosphere,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.5-10,NA,3.6.0
getPass,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2-2,NA,3.6.0
GGally,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.0,NA,3.6.0
ggcorrplot,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.3,NA,3.6.0
ggdendro,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1-20,NA,3.6.0
ggforce,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.0,NA,3.6.0
ggmap,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.0.0,NA,3.6.0
ggplot2,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.2.1,NA,3.6.0
ggpubr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.1,NA,3.6.0
ggraph,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.2,NA,3.6.0
ggrepel,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.8.1,NA,3.6.0
ggsci,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.9,NA,3.6.0
ggsignif,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.5.0,NA,3.6.0
ggthemes,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,4.2.0,NA,3.6.0
gh,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.1,NA,3.6.0
GIGrvg,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.5,NA,3.6.0
git2r,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.25.2,NA,3.6.0
glmnet,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.0-18,NA,3.6.0
globals,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.12.5,NA,3.6.0
glue,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3.1,NA,3.6.0
googledrive,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.0,NA,3.6.0
gower,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.1,NA,3.6.0
gplots,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.0.1.1,NA,3.6.0
graphics,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.0,base,3.6.0
grDevices,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.0,base,3.6.0
grid,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.0,base,3.6.0
gridBase,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.4-7,NA,3.6.0
gridExtra,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.3,NA,3.6.0
gridSVG,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.7-0,NA,3.6.0
grpreg,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.2-1,NA,3.6.0
gtable,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.0,NA,3.6.0
gtools,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.8.1,NA,3.6.0
gWidgets,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.0-54.1,NA,3.6.0
gWidgetsRGtk2,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.0-86,NA,3.6.0
h3,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.3.1,NA,3.6.0
haven,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.1.1,NA,3.6.0
here,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1,NA,3.6.0
hexbin,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.27.3,NA,3.6.0
highlight,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.4.7.2,NA,3.6.0
highr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.8,NA,3.6.0
Hmisc,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,4.3-0,NA,3.6.0
hms,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.5.1,NA,3.6.0
htmlTable,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.13.3,NA,3.6.0
htmltools,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.4.0,NA,3.6.0
htmlwidgets,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.5.1,NA,3.6.0
httpcode,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.0,NA,3.6.0
httpuv,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.5.2,NA,3.6.0
httr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.1,NA,3.6.0
igraph,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2.4.1,NA,3.6.0
influenceR,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.0,NA,3.6.0
ini,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.1,NA,3.6.0
ipred,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.9-9,NA,3.6.0
